ID,IUPACName,SMILES,CoreSMILES,State,InChIKey,Hammett_sigma,QQ.(VvsNHE),Q.Q=(VvsNHE)
255,"2-methyl-3-pentylnaphthalene-1,4-dione",CCCCCC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,XTMWDFCOWHNAPA-UHFFFAOYSA-N,-0.32,-0.508,-1.2
256,"2-decyl-3-methylnaphthalene-1,4-dione",CCCCCCCCCCC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,JZCYOZPRLAGWSS-UHFFFAOYSA-N,,-0.516,-1.209
257,"2-methyl-3-undecylnaphthalene-1,4-dione",CCCCCCCCCCCC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,ANINJZDEPNDTPH-UHFFFAOYSA-N,,-0.49,-1.2
258,"2-(3,7-dimethylocta-2,6-dienyl)-3-methylnaphthalene-1,4-dione",CC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,PTWSIIUEOFZCHW-UHFFFAOYSA-N,,-0.469,
259,,CCCCCCCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,RZUSOYJDMCPHOO-UHFFFAOYSA-N,,-0.465,
260,,CCCCCCCCCCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,UPIMGIAQQCSSLA-UHFFFAOYSA-N,,-0.469,
261,"6,7-dichloro-2-decyl-3-methylnaphthalene-1,4-dione",CCCCCCCCCCC1=C(C)C(=O)c2cc(Cl)c(Cl)cc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,CAPSZVMTKDNACN-UHFFFAOYSA-N,,-0.327,
262,"2,3,5-trimethylnaphthalene-1,4-dione",CC1=C(C)C(=O)c2c(C)cccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,DAADFRVSGSAOJZ-UHFFFAOYSA-N,-0.51,-0.6,-1.357
263,"2,3,6,7-tetramethylnaphthalene-1,4-dione",CC1=C(C)C(=O)c2cc(C)c(C)cc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,DTZPATXCQCBOFY-UHFFFAOYSA-N,-0.68,-0.541,
264,"2-methoxynaphthalene-1,4-dione",COC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,OBGBGHKYJAOXRR-UHFFFAOYSA-N,-0.27,-0.497,-1.175
265,"5-methoxynaphthalene-1,4-dione",COc1cccc2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,DBDLTJRCKGCKSK-UHFFFAOYSA-N,-0.27,-0.443,
266,"7-hydroxy-2-methoxynaphthalene-1,4-dione",COC1=CC(=O)c2ccc(O)cc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,PMVMOIQWSADFDX-UHFFFAOYSA-N,-0.44,-0.455,
267,"2,3-dimethoxynaphthalene-1,4-dione",COC1=C(OC)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,ZEGDFCCYTFPECB-UHFFFAOYSA-N,-0.54,-0.413,-1.142
268,"5,8-dimethoxynaphthalene-1,4-dione",COc1ccc(OC)c2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,HXULXWJWZVUESP-UHFFFAOYSA-N,-0.54,-0.536,
269,"(5,8-dioxonaphthalen-1-yl) acetate",CC(=O)Oc1cccc2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,BSKQCCPLVNJCQE-UHFFFAOYSA-N,0.31,-0.307,
270,"(4-hydroxy-5,8-dioxonaphthalen-1-yl) acetate",CC(=O)Oc1ccc(O)c2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,ZURGQHPGRJXQFH-UHFFFAOYSA-N,-0.06,-0.116,-0.783
271,"(4-acetyloxy-5,8-dioxonaphthalen-1-yl) acetate",CC(=O)Oc1ccc(OC(C)=O)c2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,DEYKOBAZKKDRES-UHFFFAOYSA-N,0.62,-0.269,-0.915
272,"(4,6-diacetyloxy-5,8-dioxonaphthalen-1-yl) acetate",CC(=O)OC1=CC(=O)c2c(OC(C)=O)ccc(OC(C)=O)c2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,MOZVYXCDJRKVLA-UHFFFAOYSA-N,0.93,-0.146,-0.898
273,"2-prop-2-enoxynaphthalene-1,4-dione",C=CCOC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,GJJKARQHSXJKNX-UHFFFAOYSA-N,-0.25,-0.46,-1.114
274,"2-propan-2-yloxynaphthalene-1,4-dione",CC(C)OC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,UPLMJIUMVHVVAB-UHFFFAOYSA-N,-0.45,-0.461,-1.159
275,"2-(benzenesulfonyl)naphthalene-1,4-dione",O=C1C=C(S(=O)(=O)c2ccccc2)C(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,SFUAZLZNJJLFBO-UHFFFAOYSA-N,0.7,0.073,-0.7
276,"2-aminonaphthalene-1,4-dione",NC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,CYCRZLRIJWDWCM-UHFFFAOYSA-N,-0.66,-0.605,-1.259
277,"2-amino-3-sulfanylnaphthalene-1,4-dione",NC1=C(S)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,KOWUSQUHRUZOIH-UHFFFAOYSA-N,-0.51,-0.47,-1.124
278,"N-(3-amino-1,4-dioxonaphthalen-2-yl)acetamide",CC(=O)NC1=C(N)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,IZJNNHJVNPVRHJ-UHFFFAOYSA-N,-0.66,-0.527,
279,,CCC(=O)NC1=C(N)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,XDBJHQZHYDNPDZ-UHFFFAOYSA-N,,-0.531,-1.146
280,"2-amino-3-(dimethylamino)naphthalene-1,4-dione",CN(C)C1=C(N)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,OHTCNTBRTXOMCP-UHFFFAOYSA-N,-1.49,-0.621,-1.353
281,"2-(dimethylamino)naphthalene-1,4-dione",CN(C)C1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,OCDJBQCSKVSZHQ-UHFFFAOYSA-N,-0.83,-0.605,-1.216
282,"1-(1,4-dioxonaphthalen-2-yl)-3-methylurea",CNC(=O)NC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,MZEMHBHUFBKQJG-UHFFFAOYSA-N,,-0.464,-1.125
283,"2-methylsulfanylnaphthalene-1,4-dione",CSC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,GGFFBRRZAKLGFX-UHFFFAOYSA-N,0.0,-0.379,-1.106
284,"2-methyl-3-methylsulfanylnaphthalene-1,4-dione",CSC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,LQCRQSQHGKVTCR-UHFFFAOYSA-N,-0.17,-0.411,-1.14
285,"2-ethylsulfanyl-3-methylnaphthalene-1,4-dione",CCSC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,AAPLOQZFUUYECE-UHFFFAOYSA-N,-0.14,-0.401,-1.174
286,"5-hydroxynaphthalene-1,4-dione",O=C1C=CC(=O)c2c(O)cccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,KQPYUDDGWXQXHS-UHFFFAOYSA-N,-0.37,-0.15,-0.838
287,,CC(CCC1=C(O)C(=O)c2ccccc2C1=O)c1ccc(Oc2ccccc2)cc1,O=C1C=CC(=O)c2ccccc21,Oxidized,SGCUVLGRRQQXEL-UHFFFAOYSA-N,,-0.359,-1.212
288,,CCCCCCCCCCSCCCCCCCCCCC1=C(O)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,JVBOEGHBOFZUDD-UHFFFAOYSA-N,,-0.342,-1.189
289,,Cc1ccc(SCCCCCCCCCCC2=C(O)C(=O)c3ccccc3C2=O)cc1,O=C1C=CC(=O)c2ccccc21,Oxidized,HHBUUQVNECEBOT-UHFFFAOYSA-N,,-0.376,-1.204
290,,O=C1C(O)=C(CCCCCCCCCCOc2ccc(C3CCCCC3)cc2)C(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,BDWKLHZIZDTLJP-UHFFFAOYSA-N,,-0.27,-1.204
291,"2-bromo-8-hydroxynaphthalene-1,4-dione",O=C1C=C(Br)C(=O)c2c(O)cccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,QQUYEYJPZLCULC-UHFFFAOYSA-N,-0.14,0.00699999999999998,-0.696
292,"5-hydroxy-2-methylnaphthalene-1,4-dione",CC1=CC(=O)c2c(O)cccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,VCMMXZQDRFWYSE-UHFFFAOYSA-N,-0.54,-0.239,-0.936
293,"8-hydroxy-2-methylnaphthalene-1,4-dione",CC1=CC(=O)c2cccc(O)c2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,ZMOIGGHUSNHCAB-UHFFFAOYSA-N,-0.54,-0.224,-0.877
294,"2,3-dihydroxynaphthalene-1,4-dione",O=C1C(O)=C(O)C(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,BVQUETZBXIMAFZ-UHFFFAOYSA-N,-0.74,-0.35,-1.091
295,"5,8-dihydroxynaphthalene-1,4-dione",O=C1C=CC(=O)c2c(O)ccc(O)c21,O=C1C=CC(=O)c2ccccc21,Oxidized,RQNVIKXOOKXAJQ-UHFFFAOYSA-N,-0.74,-0.044,-0.739
296,,CCCCCCCCCCCC1=C(O)C(=O)c2cc(O)ccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,OVMWMLGAUUELOH-UHFFFAOYSA-N,,-0.427,
297,"2-(3-methylphenyl)sulfanylnaphthalene-1,4-dione",Cc1cccc(SC2=CC(=O)c3ccccc3C2=O)c1,O=C1C=CC(=O)c2ccccc21,Oxidized,FFYVIUPHLVZLOJ-UHFFFAOYSA-N,,-0.256,-0.979
298,"2-methyl-3-naphthalen-2-ylsulfanylnaphthalene-1,4-dione",CC1=C(Sc2ccc3ccccc3c2)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,VJNUKEXIWYTSIY-UHFFFAOYSA-N,,-0.281,-1.029
299,"2-methylnaphthalene-1,4-dione",CC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,MJVAVZPDRWSRRC-UHFFFAOYSA-N,-0.17,0.172,0.166
300,"5-methylnaphthalene-1,4-dione",Cc1cccc2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,HVEQLLXOVCUBPR-UHFFFAOYSA-N,-0.17,0.185,0.168
301,"6-methylnaphthalene-1,4-dione",Cc1ccc2c(c1)C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,OPKFWRVRCVCMJH-UHFFFAOYSA-N,-0.17,0.228,0.155
302,"2,3-dimethylnaphthalene-1,4-dione",CC1=C(C)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,LGFDNUSAWCHVJN-UHFFFAOYSA-N,-0.34,0.075,0.093
303,"2,6-dimethylnaphthalene-1,4-dione",CC1=CC(=O)c2cc(C)ccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,SRLBDWAAORRXIC-UHFFFAOYSA-N,-0.34,0.092,0.11
304,"2,7-dimethylnaphthalene-1,4-dione",CC1=CC(=O)c2ccc(C)cc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,YZACZIYTZCJVSN-UHFFFAOYSA-N,-0.34,0.147,0.187
305,"2,8-dimethylnaphthalene-1,4-dione",CC1=CC(=O)c2cccc(C)c2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,FXHXJNRZDWVCEF-UHFFFAOYSA-N,-0.34,0.111,
306,"5,8-dimethylnaphthalene-1,4-dione",Cc1ccc(C)c2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,SDPSBJJBXIIKLC-UHFFFAOYSA-N,-0.34,0.102,0.222
307,"6,7-dimethylnaphthalene-1,4-dione",Cc1cc2c(cc1C)C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,XQSNCIHUBDBBFY-UHFFFAOYSA-N,-0.34,0.199,0.142
308,"2-methoxynaphthalene-1,4-dione",COC1=CC(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,OBGBGHKYJAOXRR-UHFFFAOYSA-N,-0.27,0.082,0.135
309,"5-methoxynaphthalene-1,4-dione",COc1cccc2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,DBDLTJRCKGCKSK-UHFFFAOYSA-N,-0.27,0.138,
310,"2,3-dimethoxynaphthalene-1,4-dione",COC1=C(OC)C(=O)c2ccccc2C1=O,O=C1C=CC(=O)c2ccccc21,Oxidized,ZEGDFCCYTFPECB-UHFFFAOYSA-N,-0.54,0.168,0.168
311,"5,8-dimethoxynaphthalene-1,4-dione",COc1ccc(OC)c2c1C(=O)C=CC2=O,O=C1C=CC(=O)c2ccccc21,Oxidized,HXULXWJWZVUESP-UHFFFAOYSA-N,-0.54,0.045,
312,"2-chloronaphthalene-1,4-dione",O=C1C=C(Cl)C(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,CCTJHVLTAJTPBV-UHFFFAOYSA-N,0.23,0.419,0.351
313,"2,3-dichloronaphthalene-1,4-dione",O=C1C(Cl)=C(Cl)C(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,SVPKNMBRVBMTLB-UHFFFAOYSA-N,0.46,0.534,0.456
314,"6,7-dichloronaphthalene-1,4-dione",O=C1C=CC(=O)c2cc(Cl)c(Cl)cc21,O=C1C=CC(=O)c2ccccc21,Oxidized,WHCHEHXXUJTVHP-UHFFFAOYSA-N,0.46,0.397,0.396
315,"5-hydroxynaphthalene-1,4-dione",O=C1C=CC(=O)c2c(O)cccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,KQPYUDDGWXQXHS-UHFFFAOYSA-N,-0.37,0.431,0.472
316,"2,3-dihydroxynaphthalene-1,4-dione",O=C1C(O)=C(O)C(=O)c2ccccc21,O=C1C=CC(=O)c2ccccc21,Oxidized,BVQUETZBXIMAFZ-UHFFFAOYSA-N,-0.74,0.231,0.219
317,"5,8-dihydroxynaphthalene-1,4-dione",O=C1C=CC(=O)c2c(O)ccc(O)c21,O=C1C=CC(=O)c2ccccc21,Oxidized,RQNVIKXOOKXAJQ-UHFFFAOYSA-N,-0.74,0.537,0.571
318,"3,4,5,6-tetrachlorocyclohexa-3,5-diene-1,2-dione",O=C1C(=O)C(Cl)=C(Cl)C(Cl)=C1Cl,O=C1C=CC=CC1=O,Oxidized,VRGCYEIGVVTZCC-UHFFFAOYSA-N,,0.437,-0.405
319,"3,4,5,6-tetrabromocyclohexa-3,5-diene-1,2-dione",O=C1C(=O)C(Br)=C(Br)C(Br)=C1Br,O=C1C=CC=CC1=O,Oxidized,DXKHBLYQXDEINJ-UHFFFAOYSA-N,,0.441,-0.362
320,"3,5-dibutylcyclohexa-3,5-diene-1,2-dione",CCCCC1=CC(=O)C(=O)C(CCCC)=C1,O=C1C=CC=CC1=O,Oxidized,BPNXFNXZUXTGFK-UHFFFAOYSA-N,,-0.218,-0.902
321,"4-(1H-indol-3-yl)cyclohexa-3,5-diene-1,2-dione",O=C1C=CC(c2c[nH]c3ccccc23)=CC1=O,O=C1C=CC=CC1=O,Oxidized,JKNXUNNCTQXBAS-UHFFFAOYSA-N,,-0.125,-0.587
322,"naphthalene-1,2-dione",O=C1C=Cc2ccccc2C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,KETQAJRQOHHATG-UHFFFAOYSA-N,,-0.24,-1.004
323,"3-bromonaphthalene-1,2-dione",O=C1C(=O)c2ccccc2C=C1Br,O=C1C=Cc2ccccc2C1=O,Oxidized,ZUAIQPLHNIKQPF-UHFFFAOYSA-N,,-0.086,-1.014
324,"4-prop-2-enoxynaphthalene-1,2-dione",C=CCOC1=CC(=O)C(=O)c2ccccc21,O=C1C=Cc2ccccc2C1=O,Oxidized,ZNCUVIUEUCWBPS-UHFFFAOYSA-N,,-0.24,-1.166
325,"4-(dimethylamino)naphthalene-1,2-dione",CN(C)C1=CC(=O)C(=O)c2ccccc21,O=C1C=Cc2ccccc2C1=O,Oxidized,ALDVFHJWLPLJHT-UHFFFAOYSA-N,,-0.51,-1.174
326,"4-(ethylamino)naphthalene-1,2-dione",CCNC1=CC(=O)C(=O)c2ccccc21,O=C1C=Cc2ccccc2C1=O,Oxidized,FSDPJIFZNXRVPK-UHFFFAOYSA-N,,-0.519,-1.221
327,"4-hydroxynaphthalene-1,2-dione",O=C1C=C(O)c2ccccc2C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,WVCHIGAIXREVNS-UHFFFAOYSA-N,,-0.17,-0.821
328,"3,4-dioxonaphthalene-1-sulfonic acid",O=C1C=C(S(=O)(=O)O)c2ccccc2C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,PZTGRDMCBZUJDL-UHFFFAOYSA-N,,-0.193,-0.8
329,"3,4-dioxonaphthalene-1,7-disulfonic acid",O=C1C=C(S(=O)(=O)O)c2cc(S(=O)(=O)O)ccc2C1=O,O=C1C=Cc2ccccc2C1=O,Oxidized,CYHRUMFFPMTPMI-UHFFFAOYSA-N,,-0.164,
330,"4-prop-2-enoxynaphthalene-1,2-dione",C=CCOC1=CC(=O)C(=O)c2ccccc21,O=C1C=Cc2ccccc2C1=O,Oxidized,ZNCUVIUEUCWBPS-UHFFFAOYSA-N,,-0.218,-1.161
331,"anthracene-1,4-dione",O=C1C=CC(=O)c2cc3ccccc3cc21,O=C1C=CC(=O)c2cc3ccccc3cc21,Oxidized,LSOTZYUVGZKSHR-UHFFFAOYSA-N,,-0.4,-1.143
332,"4-hydroxyanthracene-1,2-dione",O=C1C=C(O)c2cc3ccccc3cc2C1=O,O=C1C=Cc2cc3ccccc3cc2C1=O,Oxidized,MADWOKVVJIIQMP-UHFFFAOYSA-N,,-0.247,-1.127
333,"phenanthrene-9,10-dione",O=C1C(=O)c2ccccc2-c2ccccc21,O=C1C(=O)c2ccccc2-c2ccccc21,Oxidized,YYVYAPXYZVYDHN-UHFFFAOYSA-N,,-0.33,-0.944
334,"1-methyl-7-propan-2-ylphenanthrene-9,10-dione",Cc1cccc2c1C(=O)C(=O)c1cc(C(C)C)ccc1-2,O=C1C(=O)c2ccccc2-c2ccccc21,Oxidized,WVOVXOXRXQFTAS-UHFFFAOYSA-N,,-0.43,-1.017
335,"2,7-dihydroxyphenanthrene-9,10-dione",O=C1C(=O)c2cc(O)ccc2-c2ccc(O)cc21,O=C1C(=O)c2ccccc2-c2ccccc21,Oxidized,DOXDNIYJNDSMNY-UHFFFAOYSA-N,,-0.384,0.24
336,"4-(3,5-dimethyl-4-oxocyclohexa-2,5-dien-1-ylidene)-2,6-dimethylcyclohexa-2,5-dien-1-one",CC1=CC(=C2C=C(C)C(=O)C(C)=C2)C=C(C)C1=O,O=C1C=CC(=C2C=CC(=O)C=C2)C=C1,Oxidized,QDRFIDSUGRGGAY-UHFFFAOYSA-N,,-0.091,-0.464
337,"4-[4-oxo-3,5-di(propan-2-yl)cyclohexa-2,5-dien-1-ylidene]-2,6-di(propan-2-yl)cyclohexa-2,5-dien-1-one",CC(C)C1=CC(=C2C=C(C(C)C)C(=O)C(C(C)C)=C2)C=C(C(C)C)C1=O,O=C1C=CC(=C2C=CC(=O)C=C2)C=C1,Oxidized,ARMCFFIHDTWHHK-UHFFFAOYSA-N,,-0.074,-0.472
338,"2,6-dibutyl-4-(3,5-dibutyl-4-oxocyclohexa-2,5-dien-1-ylidene)cyclohexa-2,5-dien-1-one",CCCCC1=CC(=C2C=C(CCCC)C(=O)C(CCCC)=C2)C=C(CCCC)C1=O,O=C1C=CC(=C2C=CC(=O)C=C2)C=C1,Oxidized,QPFVCDNIZRSGDU-UHFFFAOYSA-N,,-0.091,-0.46
339,xanthen-9-one,O=c1c2ccccc2oc2ccccc12,O=c1c2ccccc2oc2ccccc12,Oxidized,JNELGWHKGNBSMD-UHFFFAOYSA-N,,-1.363,
340,"1,4-dihydroxyxanthen-9-one",O=c1c2ccccc2oc2c(O)ccc(O)c12,O=c1c2ccccc2oc2ccccc12,Oxidized,YVXJETAOWDKWOW-UHFFFAOYSA-N,,-1.26,
341,"2H-thiopyrano[3,2-b]chromen-10-one",O=c1c2c(oc3ccccc13)C=CCS2,O=c1c2c(oc3ccccc13)C=CCS2,Oxidized,QJZZMXKPOZFDFH-UHFFFAOYSA-N,,-1.3,
342,10-oxothioxanthen-9-one,O=C1c2ccccc2S(=O)c2ccccc21,,,YEZOVIIHKKPUOS-UHFFFAOYSA-N,,-0.881,
343,"10,10-dioxothioxanthen-9-one",O=C1c2ccccc2S(=O)(=O)c2ccccc21,,,DRIRMYPZOAOUPR-UHFFFAOYSA-N,,-0.731,
344,"1,8-dihydroxy-10H-anthracen-9-one",O=C1c2c(O)cccc2Cc2cccc(O)c21,,,NUZWLKWWNNJHPT-UHFFFAOYSA-N,,-1.07,
345,"10,10-dimethylanthracen-9-one",CC1(C)c2ccccc2C(=O)c2ccccc21,,,GWFCYDIAPRIMLA-UHFFFAOYSA-N,,-1.405,
